term,OR_full,OR_CI_full,p_full,OR_clean,OR_CI_clean,p_clean,separation_flag,m_converged,OR_change_pct,Sig_full,Sig_clean,Robustness
DBAS_Medications,0.6307609564219553,"0.63 [0.54, 0.74]",2.3171105316712097e-8,0.45456129089880426,"0.45 [0.36, 0.57]",1.4080166864729039e-11,FALSE,24,-27.9,TRUE,TRUE,Robust but substantial magnitude shift (>=25%)
SURPS_Hopelessness,0.5980612077931236,"0.60 [0.32, 1.13]",0.11448295564603525,0.32014814495197497,"0.32 [0.13, 0.76]",0.010381877634919875,FALSE,24,-46.5,FALSE,TRUE,Gains significance after removal
CISS_Emotion,0.836946443501827,"0.84 [0.57, 1.24]",0.37008847427677427,0.7702915811644573,"0.77 [0.47, 1.25]",0.29169793386849746,FALSE,24,-8,FALSE,FALSE,Both non-significant
DBAS_Consequences,1.075725767610398,"1.08 [0.92, 1.25]",0.34666187881915844,1.1976488545620592,"1.20 [0.99, 1.45]",0.06855893666012927,FALSE,24,11.3,FALSE,FALSE,Both non-significant
BFI_Conscientiousness,0.8437906027912488,"0.84 [0.61, 1.17]",0.3039204778495946,0.7284985367046902,"0.73 [0.49, 1.08]",0.11553867121727145,FALSE,24,-13.7,FALSE,FALSE,Both non-significant
BFI_Neuroticism,1.0397620164061767,"1.04 [0.77, 1.40]",0.7958845360247035,0.9825578798411205,"0.98 [0.67, 1.44]",0.92801672985075645,FALSE,24,-5.5,FALSE,FALSE,Both non-significant
SURPS_Sensation_Seeking,1.5176481791190022,"1.52 [0.89, 2.58]",0.12305134377461753,1.8618297023780621,"1.86 [0.96, 3.59]",0.06384494876207382,FALSE,24,22.7,FALSE,FALSE,Both non-significant
