term,b_raw,p_raw,b_std,p_std,scale_change,note
(Intercept),2.2862252167794366,0.0703125266557458,-1.1627814630776931,6.192473150414229e-18,-1.1234,intercept
DBAS_Medications,-0.4608283211450011,2.3171105316712097e-8,-0.9009273092680357,2.638569155152161e-8,0.4401,1 SD ≈ scaled
SURPS_Hopelessness,-0.5140621761002329,0.11448295564603525,-0.24824753734601446,0.11417089037854947,-0.2658,1 SD ≈ scaled
CISS_Emotion,-0.1779951967981409,0.37008847427677427,-0.14125875989762393,0.3701382484409662,-0.0367,1 SD ≈ scaled
DBAS_Consequences,0.0729955664409308,0.34666187881915844,0.14241697433801892,0.34678053795277897,0.0694,1 SD ≈ scaled
BFI_Conscientiousness,-0.16985091612655018,0.3039204778495946,-0.13856600293378052,0.3039207241150073,-0.0313,1 SD ≈ scaled
BFI_Neuroticism,0.03899185658893908,0.7958845360247035,0.04093594318233823,0.7939884067414504,0.0019,1 SD ≈ scaled
SURPS_Sensation_Seeking,0.4171618860502707,0.12305134377461753,0.20336310998109805,0.12292979265668551,-0.2138,1 SD ≈ scaled
