term,OR_CI_full,OR_CI_overlap,OR_CI_Bonly,OR_CI_clean
capabilityC,"2.63 [1.81, 3.81]","2.96 [1.95, 4.48]","3.99 [2.48, 6.41]","5.57 [3.02, 10.25]"
side_effectsC,"1.45 [0.86, 2.42]","1.52 [0.85, 2.72]","1.83 [0.99, 3.39]","2.20 [1.03, 4.69]"
