Fold,Mean_AUC,SD_AUC
1,0.7202645075154052,0.1184066243564886
2,0.7646068134391387,0.09840114780027517
3,0.710551878176396,0.08702784413140469
4,0.7238656307421127,0.0845723684206696
5,0.730613008792964,0.09813284112675694
6,0.6921331952063268,0.11604663806292842
7,0.7024461915311877,0.09783295987163912
8,0.7177571109475304,0.0842068718392332
9,0.7070448232124773,0.09102128615163337
10,0.7077762257089004,0.11010659052518
