"variable","Family","p_val","effect_type","effect_size","ci_low","ci_high","interpretation","p_fdr"
"capabilityC","Beliefs_COMB",5.22821661953354e-17,"Cohens_d",0.999,0.775,1.224,"Large",4.18257329562683e-16
"DBAS_Medications","Psychological_Individual_Differences",1.12254309637479e-09,"Cohens_d",-0.846,-1.068,-0.624,"Large",1.79606895419966e-08
"dependenceC","Beliefs_COMB",1.18046602058856e-05,"Cohens_d",-0.53,-0.747,-0.312,"Medium",4.72186408235424e-05
