Model,Description,VSURF_Set,N_Predictors,EPV,EPV_status,AUC
Model A,Psychological Individual Differences VSURF interpretation set,Interpretation (Step 2),7,16.4,✓ Adequate (≥10),"0.738 [0.680, 0.794]"
Model B,Full VSURF interpretation set,Interpretation (Step 2),10,11.5,✓ Adequate (≥10),"0.817 [0.767, 0.863]"
