Model,VSURF_Set,Scores,N_Predictors,Apparent_AUC,CV_AUC,Optimism,Interpretation
Model A (Psychological Individual Differences),Interpretation (Step 2),Raw,7,"0.738 [0.680, 0.794]","0.713 [0.654, 0.771]",0.025,Moderate (0.02–0.05) — acceptable generalisability
Model B (Full),Interpretation (Step 2),Raw,10,"0.817 [0.767, 0.863]","0.788 [0.735, 0.837]",0.029,Moderate (0.02–0.05) — acceptable generalisability
