Term,Estimate,SE,z_value,p_value,Significant_Bonferroni,Interpretation
I(DBAS_Medications * log(DBAS_Medications)),1.1213,0.3612,3.104,0.0019,TRUE,⚠️  NON-LINEAR — consider polynomial or spline
I(SURPS_Hopelessness * log(SURPS_Hopelessness)),2.6145,1.6289,1.605,0.1085,FALSE,✓ Linear assumption met
I(CISS_Emotion * log(CISS_Emotion)),-0.8135,0.9618,-0.846,0.3977,FALSE,✓ Linear assumption met
I(DBAS_Consequences * log(DBAS_Consequences)),0.0976,0.3083,0.316,0.7516,FALSE,✓ Linear assumption met
I(BFI_Conscientiousness * log(BFI_Conscientiousness)),-2.4024,1.5334,-1.567,0.1172,FALSE,✓ Linear assumption met
I(BFI_Neuroticism * log(BFI_Neuroticism)),-0.7452,0.6013,-1.239,0.2152,FALSE,✓ Linear assumption met
I(SURPS_Sensation_Seeking * log(SURPS_Sensation_Seeking)),-1.7508,1.7683,-0.99,0.3221,FALSE,✓ Linear assumption met
