"Family","Variable","Overall (N=422)","Continuers (n=307)","Stoppers (n=115)","p (uncorr)","p (FDR)","Sig","Effect Size [95% CI]","Interpretation"
"Beliefs_COMB","motivationC","2.79 (0.96)","2.89 (0.96)","2.53 (0.92)","< .001","0.001","**","d = -0.37 [-0.59, -0.16]","Small"
"Beliefs_COMB","capabilityC","3.06 (1.07)","2.79 (0.98)","3.78 (0.99)","< .001","< .001","***","d = +1.00 [0.78, 1.22]","Large"
"Beliefs_COMB","pharmacistC","2.86 (0.61)","2.84 (0.58)","2.91 (0.70)","0.331","0.378","","d = +0.12 [-0.09, 0.34]","Negligible"
"Beliefs_COMB","prescriberC","2.85 (0.83)","2.87 (0.80)","2.80 (0.90)","0.515","0.515","","d = -0.08 [-0.30, 0.13]","Negligible"
"Psychological_Individual_Differences","BFI_Extraversion","3.21 (1.04)","3.18 (1.06)","3.31 (0.99)","0.254","0.504","","d = +0.13 [-0.08, 0.34]","Negligible"
"Psychological_Individual_Differences","BFI_Agreeableness","3.84 (0.84)","3.82 (0.86)","3.92 (0.76)","0.283","0.504","","d = +0.12 [-0.10, 0.33]","Negligible"
"Psychological_Individual_Differences","BFI_Conscientiousness","4.18 (0.82)","4.18 (0.83)","4.18 (0.77)","0.993","0.993","","d = +0.00 [-0.21, 0.21]","Negligible"
"Psychological_Individual_Differences","BFI_Neuroticism","2.90 (1.04)","2.92 (1.06)","2.84 (0.99)","0.473","0.688","","d = -0.08 [-0.29, 0.14]","Negligible"
"Psychological_Individual_Differences","BFI_Openness","3.58 (0.89)","3.52 (0.88)","3.74 (0.90)","0.035","0.138","","d = +0.25 [0.04, 0.47]","Small"
"Psychological_Individual_Differences","SURPS_Hopelessness","2.02 (0.48)","2.05 (0.47)","1.94 (0.50)","0.040","0.138","","d = -0.23 [-0.45, -0.02]","Small"
"Psychological_Individual_Differences","SURPS_Impulsivity","2.00 (0.47)","2.00 (0.47)","2.00 (0.49)","0.922","0.983","","d = -0.01 [-0.23, 0.20]","Negligible"
"Psychological_Individual_Differences","SURPS_Sensation_Seeking","1.99 (0.49)","1.96 (0.49)","2.07 (0.46)","0.043","0.138","","d = +0.23 [0.01, 0.44]","Small"
"Psychological_Individual_Differences","SURPS_Anxiety_Sensitivity","2.60 (0.49)","2.62 (0.48)","2.55 (0.50)","0.190","0.434","","d = -0.15 [-0.37, 0.06]","Negligible"
"Psychological_Individual_Differences","DBAS_Consequences","6.11 (1.95)","6.25 (1.86)","5.75 (2.15)","0.035","0.138","","d = -0.26 [-0.47, -0.04]","Small"
"Psychological_Individual_Differences","DBAS_Worry_Helplessness","5.53 (1.93)","5.59 (1.85)","5.37 (2.13)","0.351","0.562","","d = -0.11 [-0.33, 0.10]","Negligible"
"Psychological_Individual_Differences","DBAS_Expectations","6.21 (2.28)","6.16 (2.26)","6.32 (2.34)","0.555","0.740","","d = +0.07 [-0.14, 0.28]","Negligible"
"Psychological_Individual_Differences","DBAS_Medications","5.64 (1.96)","6.06 (1.65)","4.51 (2.25)","< .001","< .001","***","d = -0.85 [-1.07, -0.62]","Large"
"Psychological_Individual_Differences","CISS_Task","3.71 (0.64)","3.71 (0.65)","3.70 (0.61)","0.881","0.983","","d = -0.02 [-0.23, 0.20]","Negligible"
"Psychological_Individual_Differences","CISS_Emotion","2.77 (0.79)","2.81 (0.80)","2.65 (0.76)","0.068","0.181","","d = -0.20 [-0.42, 0.01]","Small"
"Psychological_Individual_Differences","CISS_Avoidance","2.82 (0.74)","2.82 (0.73)","2.81 (0.74)","0.912","0.983","","d = -0.01 [-0.23, 0.20]","Negligible"
