"variable","VIF"
"n_ment_conditions",1.59934327157659
"phq2_score",1.53260141235683
"n_physical_conditions",1.46214289254514
"med_quant",1.38483537729507
"alc_sleep",1.20510322441031
"alc_use",1.19244574392662
"n_sleep_conditions",1.18424781051608
"fall2",1.14994624729123
"education",1.08234656645834
"c_lengthofuse",1.06524996111758
"sex",1.06521464069552
"prov_terr",1.06496534254925
"can_sleep",1.04998704160719
"op_sleep",1.03317071951638
"melatonin_use",1.03202934111915
